2025-02-13 16:21:48 [main] WARN  org.springframework.context.annotation.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'importBusinessDataJob' defined in com.danal.batch.job.buisnessData.BusinessDataJobConfig: Failed to instantiate [org.springframework.batch.core.Job]: Factory method 'importBusinessDataJob' threw exception with message: Error creating bean with name 'processStep' defined in com.danal.batch.job.buisnessData.BusinessDataJobConfig: Failed to instantiate [org.springframework.batch.core.Step]: Factory method 'processStep' threw exception with message: ItemWriter must be provided
2025-02-13 16:23:09 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (420 / 2190229)
2025-02-13 16:23:09 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (430 / 2190229)
2025-02-13 16:23:09 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (440 / 2190229)
2025-02-13 16:23:09 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (450 / 2190229)
2025-02-13 16:23:09 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (460 / 2190229)
2025-02-13 16:23:10 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (470 / 2190229)
2025-02-13 16:23:10 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (480 / 2190229)
2025-02-13 16:23:10 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (490 / 2190229)
2025-02-13 16:23:10 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (500 / 2190229)
2025-02-13 16:23:10 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (510 / 2190229)
2025-02-13 16:23:10 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (520 / 2190229)
2025-02-13 16:23:10 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (530 / 2190229)
2025-02-13 16:23:10 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (540 / 2190229)
2025-02-13 16:23:10 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (550 / 2190229)
2025-02-13 16:23:10 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (560 / 2190229)
2025-02-13 16:23:10 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (570 / 2190229)
2025-02-13 16:23:10 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (580 / 2190229)
2025-02-13 16:23:10 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (590 / 2190229)
2025-02-13 16:23:10 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (600 / 2190229)
2025-02-13 16:23:10 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (610 / 2190229)
2025-02-13 16:23:10 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (620 / 2190229)
2025-02-13 16:23:10 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (630 / 2190229)
2025-02-13 16:23:10 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (640 / 2190229)
2025-02-13 16:23:10 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (650 / 2190229)
2025-02-13 16:23:10 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (660 / 2190229)
2025-02-13 16:23:10 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (670 / 2190229)
2025-02-13 16:23:10 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (680 / 2190229)
2025-02-13 16:23:10 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (690 / 2190229)
2025-02-13 16:23:10 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (700 / 2190229)
2025-02-13 16:23:10 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (710 / 2190229)
2025-02-13 16:23:10 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (720 / 2190229)
2025-02-13 16:23:10 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (730 / 2190229)
2025-02-13 16:23:10 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (740 / 2190229)
2025-02-13 16:23:10 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (750 / 2190229)
2025-02-13 16:23:10 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (760 / 2190229)
2025-02-13 16:23:10 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (770 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (780 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (790 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (800 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (810 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (820 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (830 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (840 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (850 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (860 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (870 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (880 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (890 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (900 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (910 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (920 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (930 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (940 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (950 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (960 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (970 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (980 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (990 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (1000 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (1010 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (1020 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (1030 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (1040 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (1050 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (1060 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (1070 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (1080 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (1090 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (1100 / 2190229)
2025-02-13 16:23:11 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (1110 / 2190229)
2025-02-13 16:23:12 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (1120 / 2190229)
2025-02-13 16:23:12 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (1130 / 2190229)
2025-02-13 16:23:12 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (1140 / 2190229)
2025-02-13 16:23:12 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (1150 / 2190229)
2025-02-13 16:23:12 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (1160 / 2190229)
2025-02-13 16:23:12 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (1170 / 2190229)
2025-02-13 16:23:12 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (1180 / 2190229)
2025-02-13 16:23:12 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (1190 / 2190229)
2025-02-13 16:23:12 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (1200 / 2190229)
2025-02-13 16:23:12 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (1210 / 2190229)
2025-02-13 16:23:12 [main] INFO  com.danal.batch.job.ChunkSizeTrackingListener - 진행 상황: 0% (1220 / 2190229)
